Iteration,Generator Loss,Discriminator Loss
0,0.7290101051330566,1.3883240222930908
1,0.7196465730667114,1.3812754154205322
2,0.7141520380973816,1.373166561126709
3,0.7106603980064392,1.3687336444854736
4,0.7103794813156128,1.3624718189239502
5,0.7099298238754272,1.3587642908096313
6,0.7117824554443359,1.3527209758758545
7,0.7132317423820496,1.3494226932525635
8,0.7156404256820679,1.3449970483779907
9,0.7169334888458252,1.3418809175491333
10,0.7209362983703613,1.335600733757019
11,0.7245756387710571,1.3306379318237305
12,0.7277737259864807,1.3271420001983643
13,0.7288556098937988,1.3241677284240723
14,0.730549156665802,1.3218684196472168
15,0.7332779169082642,1.3178842067718506
16,0.7382562160491943,1.3140819072723389
17,0.7431342005729675,1.311553955078125
18,0.7469489574432373,1.306588888168335
19,0.7465777397155762,1.3009827136993408
20,0.7464885711669922,1.3053544759750366
21,0.7482118606567383,1.2970510721206665
22,0.7482017278671265,1.2970001697540283
23,0.7491297721862793,1.2905831336975098
24,0.749662458896637,1.2900989055633545
25,0.7500353455543518,1.2813901901245117
26,0.7489087581634521,1.2873530387878418
27,0.754501223564148,1.2822911739349365
28,0.7574777603149414,1.2755992412567139
29,0.7609472274780273,1.2759697437286377
30,0.7603702545166016,1.276536464691162
31,0.7617841958999634,1.271714448928833
32,0.7614853978157043,1.2706109285354614
33,0.7621073722839355,1.2687196731567383
34,0.7588800191879272,1.2698525190353394
35,0.7589073181152344,1.2668299674987793
36,0.761008620262146,1.2692351341247559
37,0.7569758892059326,1.270242691040039
38,0.7555079460144043,1.27532958984375
39,0.7544256448745728,1.2748308181762695
40,0.7517880201339722,1.2726109027862549
41,0.7451196312904358,1.2926337718963623
42,0.7482661604881287,1.2837181091308594
43,0.7472074627876282,1.2884443998336792
44,0.7539374828338623,1.2859376668930054
45,0.7536109685897827,1.282259464263916
46,0.7589507102966309,1.281090497970581
47,0.7629201412200928,1.2789219617843628
48,0.762554407119751,1.2817723751068115
49,0.7574760317802429,1.2814319133758545
50,0.7617072463035583,1.2802281379699707
51,0.7542645335197449,1.2793338298797607
52,0.767835259437561,1.2801318168640137
53,0.7415262460708618,1.2799593210220337
54,0.773047685623169,1.2768200635910034
55,0.7543995380401611,1.2844243049621582
56,0.7363382577896118,1.2896294593811035
57,0.7623212933540344,1.295222282409668
58,0.7451434135437012,1.2918531894683838
59,0.7530583739280701,1.2937517166137695
60,0.7538638114929199,1.284186840057373
61,0.7397482991218567,1.2961087226867676
62,0.7521201372146606,1.2964987754821777
63,0.7554912567138672,1.2882611751556396
64,0.7615476846694946,1.2795687913894653
65,0.7576578855514526,1.287658452987671
66,0.7621616721153259,1.2924422025680542
67,0.7421587705612183,1.2930055856704712
68,0.7492413520812988,1.300560712814331
